"Archivo","Lineas"
"src\features\parqueaderos\components\modals\ReservaModal.tsx","287"
"src\features\conductores\components\ConductorCard.tsx","276"
"src\features\usuarios\components\UsuarioCard.tsx","258"
"src\features\parqueaderos\lib\helpers.ts","229"
"src\features\roles\components\RolViewModal.tsx","228"
"src\features\auth\lib\styles.ts","220"
"src\styles\sena-overrides.css","219"
"coverage\base.css","212"
"src\features\roles\components\PermisosEditor.tsx","212"
"src\context\AuthContext.tsx","206"
"src\features\conductores\hooks\useConductorForm.ts","201"
"src\features\roles\lib\styles.ts","201"
"src\features\conductores\components\ConductorDetailModal.tsx","201"
"src\features\conductores\components\VehiculoView.tsx","195"
"src\test\appFakeApi.ts","194"
"coverage\sorter.js","192"
"src\components\data\DataToolbar.tsx","192"
"src\features\parqueaderos\components\modals\IngresoModal.tsx","190"
"src\features\dashboard\components\DashboardPrimitives.tsx","188"
"src\features\parqueaderos\components\ParqueaderosTable.tsx","182"
"src\features\parqueaderos\components\modals\CeldaInfoModal.tsx","182"
"src\features\controlSalida\lib\styles.ts","181"
"src\features\dashboard\hooks\useDashboardData.ts","172"
"src\features\incidentes\components\IncidenteFormModal.tsx","161"
"src\features\incidentes\components\IncidenteCard.tsx","159"
"eslint.config.js","158"
"src\features\parqueaderos\ParqueaderosPage.tsx","158"
"src\features\conductores\lib\styles\conductorCardDetails.ts","158"
"src\features\usuarios\UsuariosPage.test.tsx","158"
"src\features\parqueaderos\hooks\useIngresoVehiculo.ts","157"
"src\components\data\EntityFormModal.tsx","157"
"src\features\incidentes\components\IncidenteViewModal.tsx","155"
"src\features\roles\components\RolFormModal.tsx","153"
"src\features\roles\components\RoleCard.tsx","151"
"src\components\data\DataPagination.tsx","148"
"src\features\parqueaderos\components\modals\SmartAssignModal.tsx","147"
"src\features\landing\components\LandingNavbar.tsx","147"
"src\features\auth\components\RegisterForm.tsx","143"
"src\services\api\auth.ts","142"
"src\features\parqueaderos\hooks\useOcrScanner.ts","140"
"src\services\api\reservas.ts","139"
"src\features\roles\RolesPage.test.tsx","139"
"src\features\conductores\components\DatosConductorFields.tsx","136"
"src\features\auth\hooks\useLoginForm.ts","136"
"src\features\roles\components\RolBasicInfoFields.tsx","134"
"src\features\incidentes\hooks\useIncidenteDialogs.ts","133"
"src\features\landing\lib\styles.ts","133"
"src\services\api\ocr.ts","133"
"src\components\data\StatsPanel.tsx","133"
"src\features\landing\components\HeroContent.tsx","132"
"src\features\auth\components\LoginForm.tsx","130"
"src\routes\index.tsx","129"
"src\services\core\http.ts","128"
"src\features\conductores\lib\styles\conductoresLayout.ts","126"
"src\features\parqueaderos\ParqueaderosPage.test.tsx","125"
"src\features\incidentes\components\IncidenteBasicFields.tsx","125"
"src\features\roles\hooks\useRolesPage.ts","125"
"src\features\roles\components\RolesHero.tsx","123"
"src\features\conductores\ConductoresPage.tsx","122"
"src\features\perfil\components\InformacionPersonalCard.tsx","122"
"src\layouts\components\SidebarUserCard.tsx","121"
"src\features\auth\components\NombreCorreoTelefonoFields.tsx","118"
"src\features\perfil\components\CambiarPasswordModal.tsx","118"
"src\features\incidentes\hooks\useIncidentesData.ts","117"
"src\styles\shadcn-theme.css","117"
"src\features\perfil\components\PerfilHero.tsx","117"
"src\features\auth\components\PasswordFields.tsx","116"
"src\features\reservas\components\ReservaRow.tsx","115"
"src\features\auth\components\IdentidadFields.tsx","113"
"src\services\api\conductores.ts","112"
"src\components\data\EntityFormModal.test.tsx","112"
"src\features\parqueaderos\hooks\useReservaCelda.ts","111"
"src\services\api\vehiculos.ts","110"
"src\features\parqueaderos\components\map\MapVisuals.tsx","110"
"src\features\incidentes\components\IncidenteVehiculoAsignadoFields.tsx","109"
"src\layouts\components\SidebarHeader.tsx","108"
"src\layouts\MainLayout.tsx","107"
"src\features\reservas\components\ReservaViewModal.tsx","107"
"src\services\core\roles.ts","107"
"src\services\api\parqueaderos.ts","106"
"src\features\perfil\PerfilPage.test.tsx","106"
"src\features\controlSalida\components\ControlSalidaRow.tsx","103"
"src\services\api\incidentes.ts","103"
"src\features\auth\components\ResetPasswordForm.tsx","101"
"src\features\usuarios\components\CredencialesAccesoFields.tsx","101"
"src\features\reservas\ReservasPage.test.tsx","100"
"src\features\auth\components\RegisterLeftPanel.tsx","100"
"src\features\auth\components\LoginLeftPanel.tsx","100"
"src\features\controlSalida\hooks\useControlSalidaPage.ts","97"
"src\features\auth\components\ForgotPasswordRequestForm.tsx","96"
"src\features\conductores\lib\helpers.ts","95"
"src\features\landing\components\HowItWorksSection.tsx","94"
"src\features\roles\hooks\useRolForm.ts","94"
"src\features\parqueaderos\components\map\ParkingLot.tsx","93"
"src\features\conductores\components\ConductorFormModal.tsx","92"
"src\features\incidentes\IncidentesPage.tsx","92"
"src\features\usuarios\hooks\useUsuarioFormState.ts","92"
"src\features\conductores\components\UsuarioVinculadoField.tsx","92"
"src\features\parqueaderos\components\modals\IncidenteModal.tsx","92"
"src\features\conductores\lib\styles\conductorCard.ts","92"
"src\services\api\celdas.ts","91"
"src\features\conductores\components\VehiculoAsociadoFields.tsx","91"
"src\features\parqueaderos\hooks\useParqueaderoForm.ts","91"
"src\features\usuarios\hooks\useUsuarioForm.ts","90"
"src\utils\validation.test.ts","90"
"src\features\parqueaderos\components\modals\ParqueaderoFormModal.tsx","89"
"src\components\data\DataPagination.test.tsx","89"
"src\features\incidentes\components\IncidentesToolbar.tsx","88"
"src\routes\notFound\NotFoundLeftPanel.tsx","88"
"src\features\incidentes\IncidentesPage.test.tsx","88"
"src\features\auth\components\ForgotPasswordSuccess.tsx","88"
"src\services\api\controlSalida.ts","87"
"src\features\auth\lib\registerForm.ts","86"
"src\features\reservas\hooks\useReservasPage.ts","86"
"src\services\api\parqueaderos.test.ts","84"
"src\features\auth\ResetPassword.test.tsx","83"
"src\features\parqueaderos\components\map\ParkingMap.tsx","83"
"src\features\usuarios\UsuariosPage.tsx","83"
"src\features\auth\hooks\useRegisterForm.ts","83"
"src\features\landing\components\HeroStatsCard.tsx","83"
"src\features\roles\components\RolesToolbar.tsx","82"
"src\components\shared\ErrorBoundary.tsx","82"
"src\features\auth\components\LoginPasswordField.tsx","82"
"src\components\shared\Modal.tsx","81"
"src\features\auth\ForgotPassword.tsx","80"
"src\layouts\components\MobileBottomNav.tsx","80"
"src\components\scanner\CameraScanner.tsx","80"
"src\services\api\usuarios.ts","80"
"src\services\core\queryFactory.test.ts","79"
"src\features\dashboard\DashboardPage.tsx","79"
"src\test\fakeApi.ts","79"
"src\services\api\controlSalida.test.ts","78"
"src\features\parqueaderos\components\ParqueaderosTopbar.tsx","78"
"src\routes\ProtectedRoute.tsx","76"
"src\features\conductores\hooks\useConductoresFilters.ts","76"
"src\features\conductores\ConductoresPage.test.tsx","76"
"src\features\conductores\components\ConductoresToolbar.tsx","75"
"src\features\auth\components\ResetPasswordFields.tsx","75"
"src\features\controlSalida\components\ControlSalidaToolbar.tsx","74"
"src\layouts\components\MobileHeader.tsx","74"
"src\features\conductores\components\ConductoresResults.tsx","74"
"src\features\parqueaderos\components\map\ParkingCell.tsx","74"
"src\features\dashboard\components\ParqueaderosPanel.tsx","73"
"coverage\block-navigation.js","73"
"src\features\reservas\components\ReservasHero.tsx","73"
"src\features\auth\Register.test.tsx","72"
"src\features\reservas\components\ReservasTable.tsx","72"
"src\components\data\DataToolbar.test.tsx","71"
"src\features\controlSalida\components\ControlSalidaTable.tsx","71"
"src\components\shared\Modal.test.tsx","71"
"src\services\api\auth.test.ts","70"
